Degree,Frequency
1,1942
2,795
4,322
5,234
6,1
7,153
8,126
9,6
10,99
11,76
12,73
13,11
14,50
18,7
19,35
20,11
21,34
22,38
23,28
24,32
25,27
26,24
27,32
28,22
29,22
30,20
31,21
32,21
33,21
34,22
35,19
36,11
37,10
38,3
39,5
40,15
41,9
42,1
43,10
44,12
45,10
46,3
48,1
49,4
50,8
51,10
52,9
53,8
54,7
55,8
56,4
57,2
58,3
59,5
60,2
61,8
62,3
63,6
64,7
65,8
66,9
67,4
68,7
69,6
70,5
71,11
72,8
73,8
74,5
75,6
76,8
77,5
78,3
79,7
80,4
81,6
82,4
83,3
84,4
85,2
86,4
87,1
88,3
89,1
90,1
91,2
92,1
93,2
94,3
95,8
96,4
97,4
98,6
99,2
100,4
101,7
102,3
103,2
104,3
105,2
106,5
107,3
108,3
109,3
110,1
112,4
113,5
114,8
115,3
116,2
117,2
118,2
119,5
120,2
121,2
122,3
123,2
124,5
125,2
126,2
127,5
128,4
129,1
130,3
131,1
132,3
133,4
134,1
136,2
137,2
138,3
139,2
140,2
141,4
142,3
143,1
144,4
146,3
148,2
150,2
152,1
153,1
155,6
156,2
157,1
158,4
159,4
160,3
161,5
162,1
163,2
164,1
166,1
167,2
168,1
169,2
170,2
171,1
173,1
174,4
175,3
176,2
177,1
178,2
179,1
180,3
181,1
182,1
183,5
184,1
185,7
186,2
187,2
188,1
189,1
190,1
192,1
193,2
195,1
197,4
198,1
199,3
200,3
201,2
202,1
203,1
204,1
205,2
206,1
208,1
209,2
210,1
211,2
212,2
214,1
215,3
218,1
221,1
223,1
224,1
227,2
231,2
234,1
236,2
237,1
238,1
242,1
244,1
247,3
248,3
250,2
252,1
253,2
255,1
258,1
263,1
264,1
265,1
269,1
