Degree,Frequency
1,35755
10,732
100,12
1007,1
101,13
1016,1
102,15
103,18
104,17
105,16
106,25
107,12
108,13
109,10
11,673
110,22
111,14
112,20
113,18
1132,1
114,14
1141,1
115,12
116,13
117,21
1172,1
118,22
119,17
12,548
120,16
1205,1
121,16
122,16
1229,1
123,13
124,18
125,18
126,13
127,13
128,6
129,16
13,470
130,15
131,18
132,10
1323,1
133,15
134,15
135,12
136,10
1365,1
137,12
138,8
139,12
14,437
140,4
141,6
142,11
143,10
144,9
145,6
146,14
147,10
148,14
149,13
15,393
150,4
151,15
152,7
153,19
154,8
155,8
156,10
157,13
158,3
159,9
1599,1
16,341
160,5
161,8
162,9
1626,1
163,4
164,9
165,10
166,12
167,6
168,10
1682,1
169,4
17,349
170,7
171,7
172,5
173,6
174,7
175,10
176,8
177,2
178,6
179,4
18,285
180,6
181,7
182,7
183,6
184,5
1842,1
185,10
186,2
187,6
188,4
189,9
19,235
190,4
191,7
192,4
193,9
194,9
195,4
196,7
197,3
198,9
199,8
2,11347
20,223
200,2
201,5
202,3
203,7
204,3
205,3
206,8
207,4
208,5
209,6
21,237
210,5
211,8
212,5
213,4
214,2
215,4
216,10
217,3
218,3
219,4
22,185
220,3
221,3
222,7
223,7
224,5
225,6
226,5
227,4
228,3
229,4
23,216
230,2
231,4
232,2
233,9
234,5
235,4
236,1
237,7
238,3
239,3
24,168
240,2
241,1
242,2
243,5
244,4
245,3
246,3
247,2
248,1
249,4
25,167
250,2
252,3
253,4
254,3
255,6
256,4
257,5
258,1
259,3
26,157
260,6
261,2
262,6
263,1
264,3
265,2
266,2
267,2
268,2
269,1
27,157
270,2
271,2
272,8
273,3
274,2
275,3
276,1
277,7
278,7
279,2
28,143
280,4
282,2
283,1
284,3
285,3
286,6
287,1
288,2
289,1
29,147
291,1
292,1
293,1
294,3
295,1
297,5
298,1
299,1
3,5729
30,122
301,4
303,4
304,1
3044,1
305,5
306,3
307,2
308,2
309,5
31,125
312,5
314,2
316,5
317,4
318,2
32,132
320,1
321,1
322,1
323,2
324,1
325,4
326,1
328,1
329,2
33,124
332,1
333,5
335,1
338,1
339,1
34,100
341,2
342,1
343,1
345,3
346,3
347,2
348,3
349,1
35,108
353,1
354,2
355,3
356,2
357,4
358,1
359,1
36,99
360,2
361,1
362,1
364,1
365,1
366,4
367,1
368,1
369,3
37,100
370,2
374,1
376,1
377,2
38,97
380,3
382,1
385,4
386,1
387,1
389,1
39,85
390,2
392,1
393,1
394,1
395,3
397,3
398,2
399,1
4,3581
40,82
400,1
403,2
405,2
406,1
407,1
408,1
41,73
410,2
411,2
412,1
413,1
414,1
415,1
416,2
417,1
42,75
421,2
422,1
423,1
424,1
428,2
429,1
43,80
432,1
434,1
438,1
439,2
44,64
440,1
441,1
444,1
445,2
448,1
449,1
45,74
450,2
451,1
454,1
456,1
458,1
46,63
461,1
462,2
464,1
466,1
469,1
47,54
470,1
471,1
473,2
475,1
48,70
481,1
484,1
488,1
49,57
490,1
498,1
5,2528
50,62
503,1
504,1
505,1
508,1
51,60
512,2
514,2
517,2
518,1
519,1
52,66
521,1
523,3
525,1
527,1
53,55
532,1
534,1
54,62
541,2
542,1
543,1
547,1
55,50
550,1
559,1
56,71
567,1
568,1
57,46
576,2
579,1
58,44
581,1
59,30
593,1
6,1932
60,57
601,1
61,43
616,1
62,51
622,1
627,1
628,1
63,41
630,1
636,1
64,42
648,1
65,34
66,43
662,1
663,1
664,1
665,1
666,1
67,36
673,1
68,26
682,1
683,1
69,36
693,1
698,1
7,1451
70,44
71,43
719,1
72,35
723,1
724,1
73,42
733,1
74,39
75,47
755,1
76,37
765,1
77,23
78,28
786,1
79,35
8,1078
80,34
802,1
81,21
814,2
82,31
828,1
83,32
84,27
841,1
85,31
851,1
86,24
868,1
87,27
870,1
88,23
89,21
9,932
90,14
908,1
91,26
919,1
92,25
93,20
94,18
95,26
96,30
962,1
97,20
977,1
98,20
99,17
997,1
