Degree,Frequency
1,23
10,1549
100,27
1003,1
101,28
102,21
103,19
104,13
105,19
106,15
107,20
108,16
109,17
11,1300
110,21
111,22
112,19
113,13
114,12
115,18
116,17
117,16
118,14
119,21
12,1137
120,21
121,16
122,24
123,11
124,12
125,9
126,15
127,21
1270,1
128,13
129,16
13,966
130,14
131,10
132,7
133,9
134,17
135,13
136,10
137,14
138,5
139,9
14,872
140,11
141,10
142,14
143,11
144,9
145,15
146,8
147,8
148,21
149,13
15,794
150,2
151,10
152,10
153,10
154,16
155,9
156,11
157,3
158,5
159,11
16,712
160,13
161,6
162,4
163,2
164,9
165,12
166,7
1663,1
167,11
168,8
169,6
17,646
170,8
171,8
1718,1
172,6
173,7
174,10
1742,1
175,9
176,9
177,5
178,9
179,10
18,532
180,9
181,6
182,4
183,4
184,7
185,6
186,3
187,5
188,7
189,8
19,487
190,6
191,5
192,10
193,4
194,12
195,4
196,9
197,9
198,10
199,8
2,13
20,474
200,9
201,9
202,8
203,23
204,35
205,25
206,19
207,8
208,12
209,18
21,410
210,11
211,15
212,12
213,18
214,11
215,5
216,6
217,10
218,6
219,4
22,418
220,9
221,3
222,5
223,6
224,9
2242,1
225,6
226,2
227,4
228,5
229,1
23,356
230,4
231,9
232,7
233,3
2331,1
234,2
235,4
236,3
237,4
238,1
239,5
24,309
240,7
241,6
244,5
245,3
246,5
247,4
248,5
249,1
25,296
250,3
251,1
252,2
253,2
254,3
2541,1
255,3
256,3
257,2
258,1
259,6
26,287
260,3
261,4
262,4
263,2
264,5
265,4
266,4
268,5
27,270
270,1
271,4
272,1
273,4
274,1
276,2
277,2
278,2
279,2
28,257
280,2
282,3
283,1
284,1
285,2
286,3
287,1
288,1
289,2
29,256
290,3
291,1
292,1
293,3
294,1
296,3
297,3
298,1
3,28135
30,233
300,3
301,4
302,3
303,2
304,2
305,2
307,2
308,1
309,2
31,190
311,5
312,2
313,1
315,3
316,1
317,2
318,1
32,216
320,1
321,3
322,1
324,1
326,3
327,2
329,2
33,198
330,2
332,1
336,3
337,1
339,1
34,207
340,3
341,2
343,1
346,3
347,1
348,1
349,1
35,162
350,2
351,1
352,3
353,1
355,2
356,1
358,2
359,3
36,160
360,3
361,1
362,1
363,1
364,2
365,1
367,1
368,1
369,1
37,149
372,2
373,1
374,1
375,1
38,161
382,1
385,2
386,2
387,1
39,131
392,3
393,1
394,1
396,1
397,1
398,1
4,11512
40,143
401,2
403,1
405,1
406,1
407,3
409,1
41,129
412,1
416,1
417,1
419,1
42,110
421,1
423,1
424,2
425,1
427,1
429,1
43,114
430,1
431,3
434,1
436,1
437,1
438,1
439,1
44,106
442,1
443,1
444,1
445,2
447,1
448,2
45,126
450,2
451,2
46,102
461,1
462,1
469,1
47,91
475,1
478,2
48,100
480,1
482,1
488,2
49,106
495,1
496,1
5,6608
50,86
501,1
503,1
506,1
508,1
51,97
512,1
52,94
520,1
53,82
530,1
532,1
537,1
54,77
541,1
543,1
55,70
559,1
56,90
561,1
564,1
57,72
58,61
581,1
582,1
584,1
587,1
59,57
591,1
594,1
6,4310
60,66
61,50
613,1
616,1
619,1
62,66
625,1
63,52
64,42
641,1
65,46
651,1
656,1
66,55
661,1
666,1
668,1
669,1
67,56
674,1
675,1
68,42
684,1
688,1
69,45
697,1
7,3081
70,45
700,1
71,45
72,37
73,42
737,1
74,42
75,40
76,41
77,49
78,44
79,30
798,1
8,2377
80,33
81,25
82,41
83,27
839,1
84,34
85,30
86,32
87,25
88,25
89,30
897,1
9,1925
90,23
91,22
917,1
92,19
93,22
94,27
95,26
955,1
958,1
96,21
97,32
972,1
98,21
99,20
990,1
